question_id,title,topic,sub_topic,difficulty,question_link,solution_link
1,01 Detect cycle in a directed graph,Graph,Cycle Detection,Easy,https://practice.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1ps://leetcode.com/problems/maximum-subarray/,https://github.com/Dummy-Bug/DSA-PracticeHub/new/master/Graphs/Cycle%20Detection
2,02 Detect cycle in a undirected graph,Graph,Cycle Detection,Easy,https://practice.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Graphs/Cycle%20Detection/02%20Detect%20cycle%20in%20undirected%20graph.md
3,03 Course schedule I,Graph,Cycle Detection,Medium,https://leetcode.com/problems/course-schedule/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Graphs/Cycle%20Detection/03%20Course%20schedule.md
4,04 Longest cycle in graph,Graph,Cycle Detection,Medium++,https://leetcode.com/problems/longest-cycle-in-a-graph/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Graphs/Cycle%20Detection/04%20Longest%20cycle%20in%20directed%20graph%20.md
5,01 Two sum II,Array,Two Pointers,Easy,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/01%20Two%20Sum%20II%20.md
6,02 Merge two sorted array,Array,Two Pointers,Easy,https://leetcode.com/problems/merge-sorted-array/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/02%20Merge%20two%20sorted%20Array.md
7,03 Rotate array,Array,Two Pointers,Medium,https://leetcode.com/problems/rotate-array/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/03%20Rotate%20array.md
8,04 K-diff pairs,Array,Two Pointers,Medium,https://leetcode.com/problems/k-diff-pairs-in-an-array/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/04%20k-diff%20pairs.md
9,05 Container with most water,Array,Two Pointers,Medium,https://leetcode.com/problems/container-with-most-water/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/05%20Container%20with%20most%20water.md
10,06 Shortest unsorted continuous subarray,Array,Two Pointers,Medium++,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/06%20Shortest%20Unsorted%20Continuous%20Subarray.md
11,07 Trapping rain water,Array,Two Pointers,Hard,https://leetcode.com/problems/trapping-rain-water/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/07%20Rain%20water%20trapped%20.md
12,01 Dutch national flag ,Array,Three Pointers,Medium,https://leetcode.com/problems/sort-colors/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Three%20Pointers/01%20Dutch%20national%20flag%20.md
13,02 Three sum,Array,Three Pointers,Medium,https://leetcode.com/problems/3sum/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Three%20Pointers/02%20Three%20Sum.md
14,03 Three sum closest,Array,Three Pointers,Medium,https://leetcode.com/problems/3sum-closest/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Three%20Pointers/03%20Three%20sum%20closest%20.md
15,04 Three sum smaller ,Array,Three Pointers,Medium,https://practice.geeksforgeeks.org/problems/count-triplets-with-sum-smaller-than-x5549/1?utm_source=gfg&utm_medium=article&utm_campaign=bottom_sticky_on_article,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Three%20Pointers/03%20Three%20sum%20smaller%20.md
16,05 Four sum ,Array,Three Pointers,Medium++,https://leetcode.com/problems/4sum/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Three%20Pointers/05%20Four%20sum%20.md
17,01 Remove element,Array,Array Transformations,Easy,https://leetcode.com/problems/remove-element/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Array%20Transformation/01%20Remove%20element%20.md
18,02 Move zeroes,Array,Array Transformations,Easy,https://leetcode.com/problems/move-zeroes/editorial/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Array%20Transformation/02%20Move%20zeros%20.md
19,03 Apply array operations,Array,Array Transformations,Medium,https://leetcode.com/problems/apply-operations-to-an-array/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Array%20Transformation/03%20Apply%20array%20operations%20.md
20,04 Remove duplicates from sorted array,Array,Array Transformations,Medium++,https://leetcode.com/problems/remove-duplicates-from-sorted-array/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Array%20Transformation/04%20Remove%20duplicates%20from%20sorted%20array.md
21,05 Remove duplicates from sorted array II,Array,Array Transformations,Medium++,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Array%20Transformation/05%20Remove%20duplicates%20from%20sorted%20array%20II.md
22,01 Insert Interval,Array,Interval Problems,Medium ,https://leetcode.com/problems/insert-interval/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Interval%20Problems/01%20Insert%20Interval%20.md
23,02 Merge Interval,Array,Interval Problems,Medium,https://leetcode.com/problems/merge-intervals/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Interval%20Problems/02%20Merge%20interval%20.md
24,03 N meetings in one room,Array,Interval Problems,Easy,https://practice.geeksforgeeks.org/problems/n-meetings-in-one-room-1587115620/1,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Interval%20Problems/03%20N%20meetings%20in%20one%20room%20.md
25,04 Number of rooms required for N meetings,Array,Interval Problems,Medium++,https://www.interviewbit.com/problems/meeting-rooms/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Interval%20Problems/04%20Meeting%20Rooms%20II.md
26,05 Minimum Arrows to burst balloons,Array,Interval Problems,Medium++,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Interval%20Problems/05%20Minimum%20number%20of%20arrows%20to%20burst%20balloons%20.md
27,06 Non overlapping intervals,Array,Interval Problems,Medium++,https://leetcode.com/problems/non-overlapping-intervals/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Interval%20Problems/06%20Non%20overlapping%20Intervals%20.md
