question_id,title,topic,sub_topic,difficulty,question_link,solution_link
1,Leaders in an Array,Array,Classics,Easy,https://practice.geeksforgeeks.org/problems/leaders-in-an-array-1587115620/1,https://practice.geeksforgeeks.org/problems/leaders-in-an-array-1587115620/1
2,Equilbrium Index,Array,Classics,Easy,https://practice.geeksforgeeks.org/problems/equilibrium-point-1587115620/1,https://practice.geeksforgeeks.org/problems/equilibrium-point-1587115620/1?utm_source=gfg&utm_medium=article&utm_campaign=bottom_sticky_on_article
3,Maximum Absolute Difference,Array,Classics,Medium,https://www.interviewbit.com/problems/maximum-absolute-difference/,https://www.interviewbit.com/problems/maximum-absolute-difference/
4,Majority Element,Array,Classics,Medium,https://leetcode.com/problems/majority-element/description/,https://leetcode.com/problems/majority-element/description/
5,Majority Element II,Array,Classics,Medium++,https://leetcode.com/problems/majority-element-ii/,https://leetcode.com/problems/majority-element-ii/
6,Maximum SubArray Sum,Array,Classics,Medium,https://leetcode.com/problems/maximum-subarray/,https://leetcode.com/problems/maximum-subarray/
7,Flip Bits,Array,Classics,Medium++,https://www.interviewbit.com/problems/flip/,https://www.interviewbit.com/problems/flip/
8,Two sum II,Array,Two Pointers,Easy,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/01%20Two%20Sum%20II%20.md
9,Merge two sorted array,Array,Two Pointers,Easy,https://leetcode.com/problems/merge-sorted-array/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/02%20Merge%20two%20sorted%20Array.md
10,Max and Min,Array,Two Pointers,Medium,https://www.geeksforgeeks.org/smallest-subarray-containing-minimum-and-maximum-values/,https://www.geeksforgeeks.org/smallest-subarray-containing-minimum-and-maximum-values/
11,Squares of Sorted Array,Array,Two Pointers,Medium,https://leetcode.com/problems/squares-of-a-sorted-array/,https://leetcode.com/problems/squares-of-a-sorted-array/
12,Rotate array,Array,Two Pointers,Medium,https://leetcode.com/problems/rotate-array/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/03%20Rotate%20array.md
13,Container with most water,Array,Two Pointers,Medium,https://leetcode.com/problems/container-with-most-water/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/05%20Container%20with%20most%20water.md
14,Shortest unsorted continuous subarray,Array,Two Pointers,Medium++,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/06%20Shortest%20Unsorted%20Continuous%20Subarray.md
15,Trapping rain water,Array,Two Pointers,Hard,https://leetcode.com/problems/trapping-rain-water/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Two%20Pointers/07%20Rain%20water%20trapped%20.md
16,Dutch national flag ,Array,Three Pointers,Medium,https://leetcode.com/problems/sort-colors/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Three%20Pointers/01%20Dutch%20national%20flag%20.md
17,Three sum,Array,Three Pointers,Medium,https://leetcode.com/problems/3sum/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Three%20Pointers/02%20Three%20Sum.md
18,Three sum closest,Array,Three Pointers,Medium,https://leetcode.com/problems/3sum-closest/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Three%20Pointers/03%20Three%20sum%20closest%20.md
19,Three sum smaller ,Array,Three Pointers,Medium++,https://practice.geeksforgeeks.org/problems/count-triplets-with-sum-smaller-than-x5549/1,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Three%20Pointers/03%20Three%20sum%20smaller%20.md
20,Four sum ,Array,Three Pointers,Hard,https://leetcode.com/problems/4sum/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Three%20Pointers/05%20Four%20sum%20.md
21,Remove element,Array,Transformations,Easy,https://leetcode.com/problems/remove-element/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Array%20Transformation/01%20Remove%20element%20.md
22,Move zeroes,Array,Transformations,Easy,https://leetcode.com/problems/move-zeroes/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Array%20Transformation/02%20Move%20zeros%20.md
23,Apply array operations,Array,Transformations,Medium,https://leetcode.com/problems/apply-operations-to-an-array/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Array%20Transformation/03%20Apply%20array%20operations%20.md
24,Remove duplicates from sorted array,Array,Transformations,Medium++,https://leetcode.com/problems/remove-duplicates-from-sorted-array/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Array%20Transformation/04%20Remove%20duplicates%20from%20sorted%20array.md
25,Remove duplicates from sorted array II,Array,Transformations,Medium++,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Array%20Transformation/05%20Remove%20duplicates%20from%20sorted%20array%20II.md
26,Maximum Number of swaps,Array,Fixed Window,Medium,https://practice.geeksforgeeks.org/problems/minimum-swaps-required-to-bring-all-elements-less-than-or-equal-to-k-together4847/1,https://practice.geeksforgeeks.org/problems/minimum-swaps-required-to-bring-all-elements-less-than-or-equal-to-k-together4847/1
27,Maximum Number of Vowels in a Substring of Given Length,Array,Fixed Window,Medium,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length/,https://github.com/Dummy-Bug/DSA-PracticeHub/tree/master/Dynamic%20Programming/0-1%20Knapsackk
28,Permutation in String,Array,Fixed Window,Medium,https://leetcode.com/problems/permutation-in-string/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Dynamic%20Programming/Subsequence/07%20Wildcard%20matching%20.md
29,Minimum Number of Flips to Make the Binary String Alternating,Array,Fixed Window,Medium,https://leetcode.com/problems/minimum-number-of-flips-to-make-the-binary-string-alternating/,https://github.com/Dummy-Bug/DSA-PracticeHub/tree/master/Dynamic%20Programming/0-1%20Knapsack
30,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,Array,Fixed Window,Medium,https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Dynamic%20Programming/Subsequence/04%20Minimum%20Deletion%20.md
31,Longest Substring Without Repeating Characters,Array,Variable Window,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Dynamic%20Programming/Subsequence/04%20Minimum%20Deletion%20.md
32,Longest Repeating Character Replacement,Array,Variable Window,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Dynamic%20Programming/Subsequence/07%20Wildcard%20matching%20.md
33,Frequency of the Most Frequent Element,Array,Variable Window,Medium,https://leetcode.com/problems/frequency-of-the-most-frequent-element/,https://github.com/Dummy-Bug/DSA-PracticeHub/tree/master/Dynamic%20Programming/0-1%20Knapsack
34,Minimum Size Subarray Sum,Array,Variable Window,Medium,https://leetcode.com/problems/minimum-size-subarray-sum/,https://github.com/Dummy-Bug/DSA-PracticeHub/tree/master/Dynamic%20Programming/0-1%20Knapsack
35,Spiral Matrix,Matrix,Classics,Medium,https://leetcode.com/problems/spiral-matrix/,https://leetcode.com/problems/spiral-matrix/
36,Pascal's Triangle I,Matrix,Classics,Medium,https://leetcode.com/problems/pascals-triangle/,https://leetcode.com/problems/pascals-triangle/
37,Pascal's Triangle II,Matrix,Classics,Medium,https://leetcode.com/problems/pascals-triangle-ii/,https://leetcode.com/problems/pascals-triangle-ii/
38,Rotate Matrix,Matrix,Classics,Medium,https://leetcode.com/problems/rotate-image/description/,https://leetcode.com/problems/rotate-image/description/
39,Range Sum Queries,Matrix,Classics,Medium++,https://leetcode.com/problems/range-sum-query-2d-immutable/description/,https://leetcode.com/problems/range-sum-query-2d-immutable/description/
40,Set Matrix Zeroes,Matrix,Classics,Medium++,https://leetcode.com/problems/set-matrix-zeroes/,https://leetcode.com/problems/set-matrix-zeroes/
41,Sum of All subMatrices,Matrix,Classics,Hard,https://www.geeksforgeeks.org/sum-of-all-submatrices-of-a-given-matrix/,https://www.geeksforgeeks.org/sum-of-all-submatrices-of-a-given-matrix/
42,Sum of All Square SubMatrices,Matrix,Classics,Hard,https://www.interviewbit.com/problems/maximum-sum-square-submatrix/,https://www.interviewbit.com/problems/maximum-sum-square-submatrix/
43,Nth Fibonacci number using Recursion,Recursion,Classics,Easy,https://practice.geeksforgeeks.org/problems/nth-fibonacci-number1335/1,https://practice.geeksforgeeks.org/problems/nth-fibonacci-number1335/1?utm_source=gfg&utm_medium=article&utm_campaign=bottom_sticky_on_article
44,Factorial of a number using Recursion,Recursion,Classics,Easy,https://practice.geeksforgeeks.org/problems/factorial5739/1,https://practice.geeksforgeeks.org/problems/factorial5739/1?utm_source=gfg&utm_medium=article&utm_campaign=bottom_sticky_on_article
45,Power of x,Recursion,Classics,Medium,https://leetcode.com/problems/powx-n/description/,https://leetcode.com/problems/powx-n/description/
46,Tower of Hanoi,Recursion,Classics,Medium++,https://practice.geeksforgeeks.org/problems/tower-of-hanoi-1587115621/1,https://practice.geeksforgeeks.org/problems/tower-of-hanoi-1587115621/1?utm_source=gfg&utm_medium=article&utm_campaign=bottom_sticky_on_article
47,Kth symbol in grammar,Recursion,Classics,Medium++,https://leetcode.com/problems/k-th-symbol-in-grammar/,https://leetcode.com/problems/k-th-symbol-in-grammar/
48,Find Missing number ,Sorting,Cyclic Sort,Medium,https://leetcode.com/problems/missing-number/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Cyclic%20Sort/01%20Missing%20number%20.md
49,All Missing number,Sorting,Cyclic Sort,Medium,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Cyclic%20Sort/02%20All%20missing%20numbers%20.md
50,Find the duplicate number,Sorting,Cyclic Sort,Medium,https://leetcode.com/problems/find-the-duplicate-number/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Cyclic%20Sort/03%20Find%20All%20the%20duplicates%20in%20Array.md
51,Find all the duplicates ,Sorting,Cyclic Sort,Medium,https://leetcode.com/problems/find-all-duplicates-in-an-array/description/,https://github.com/Dummy-Bug/DSA-PracticeHub/blob/master/Arrays/Cyclic%20Sort/04%20Find%20all%20duplicates%20in%20Array%20.md
